21-06-2022 00:07:10 Timo Diddy Slime Grim Dragon   || 0:2 ||  Blak Zery Alex Elytic Uphill 
21-06-2022 00:07:36 Blak Diddy Slime Uphill Dragon   || 1:1 ||  Timo Zery Alex Elytic Grim 
21-06-2022 00:17:14 Blak Becket Zto Grim Timo   || 2:1 ||  Dragon Elytic Bobby Nookie Diddy 
21-06-2022 00:19:14 Blak Bobby Elytic Uphill Timo   || 0:2 ||  Dragon Grim Becket Nookie Diddy 
04-07-2022 22:54:55 Diddy Hero Ronin Stn Dragon   || 0:2 ||  Blak Timo Bobby Becket Uphill 
04-07-2022 23:18:01 Blak Timo Becket Uphill Bobby   || 1:0 ||  Ronin Stn Diddy Zery Dragon 
10-07-2022 23:10:01 Blak Zery Slime Ronin Dragon   || 2:1 ||  Timo Stinky Nookie Becket Uphill 
10-07-2022 23:43:53 Blak Becket Stinky Diddy Uphill   || 1:0 ||  Zto Slime Ronin Nookie Dragon 
11-07-2022 00:00:47 Slime Ronin Nookie Diddy Uphill   || 1:0 ||  Blak Alex Stinky Zto Dragon 
10-09-2022 08:03:11 Stn Haboo Becket Diddy Hero   || 2:3 ||  Zery Elytic Timo Suddi Daire 
18-09-2022 15:43:44 Becket Stn Uphill Alex Diddy   || 2:1 ||  Timo Zery Elytic Zto Dragon
18-09-2022 23:02:25 Becket Ronin Uphill Zery Diddy   || 1:1 ||  Timo Stn Nookie Foy Dragon 
23-09-2022 22:43:28 Grim Blak Ronin Cylas Nookie   || 0:1 ||  Zto Uphill Foy Zery Bobby 
23-09-2022 23:07:19 Grim Foy Timo Bobby Nookie   || 1:0 ||  Zto Uphill Blak Ronin Cylas 
23-09-2022 23:31:59 Grim Uphill Foy Bobby Nookie   || 1:0 ||  Elytic Blak Ronin Timo Cylas 
23-09-2022 23:58:08 Grim Blak Ronin Cylas Nookie   || 0:1 ||  Zto Uphill Foy Zery Bobby 
23-09-2022 23:59:59 Grim Foy Timo Bobby Nookie   || 1:0 ||  Zto Uphill Blak Ronin Cylas 
24-09-2022 00:01:29 Grim Uphill Foy Bobby Nookie   || 1:0 ||  Elytic Blak Ronin Timo Cylas 
28-09-2022 22:45:32 Uphill Bobby Timo Zery Becket   || 2:0 ||  Elytic Diddy Zto Stinky Blak 
02-10-2022 23:34:51 Elytic Diddy Uphill Timo Blak   || 0:2 ||  Nookie Foy Squishy Grim Stn 
03-10-2022 00:09:14 Elytic Nookie Foy Grim Stn   || 0:1 ||  Diddy Uphill Squishy Timo Blak 
03-10-2022 20:24:29 Squishy Grim Stn Nookie Foy   || 1:0 ||  Elytic Timo Diddy Blak Uphill 
09-10-2022 21:26:10 Becket Zto Zery Timo Blak   || 2:1 ||  Elytic M-kon Stn Diddy Uphill 
09-10-2022 22:06:49 Elytic Squishy Stn Diddy Uphill   || 0:1 ||  Zery Timo Becket Blak Zto 
16-10-2022 21:39:25 Bobby Diddy Ronin Foy Timo   || 0:1 ||  Zery Alex Becket Daire Uphill 
16-10-2022 21:56:21 Bobby Uphill Ronin Foy Becket   || 0:1 ||  Zery Alex Timo Daire Diddy 
16-10-2022 22:41:16 Diddy Ronin Zery Timo Nookie   || 2:0 ||  Bobby Becket Alex Foy Uphill 
23-10-2022 23:15:26 Diddy Blak Dragon Nookie Uphill   || 0:2 ||  Zto Ronin Becket Timo Grim 
05-11-2022 21:35:13 Zery Diddy Ronin Becket Stn   || 3:1 ||  Blak Timo Grim Nookie Uphill 
05-11-2022 22:14:15 Zery Ronin Becket Stn Uphill   || 2:0 ||  Diddy Blak Timo Grim Nookie 
05-11-2022 22:57:08 Zto Diddy Blak Timo Haboo   || 0:2 ||  Ronin Becket Stn Nookie Uphill 
12-11-2022 00:26:04 Zery Grim Ronin Foy Elytic   || 2:0 ||  Becket Blak Ende Uphill Diddy 
12-11-2022 23:11:58 Wagon Blak Timo Zery Uphill   || 1:1 ||  Foy Bobby Diddy Ende Elytic 
12-11-2022 23:36:25 Foy Diddy Blak Nookie Uphill   || 1:0 ||  Wagon Bobby Timo Ende Elytic 
13-11-2022 00:15:18 Foy Bobby Ende Elytic Nookie   || 0:1 ||  Ronin Diddy Blak Timo Uphill 
13-11-2022 00:20:53 Nookie Ende Bobby Foy Elytic   || 1:0 ||  Timo Blak Ronin Uphill Diddy 
13-11-2022 22:00:46 Stn Ronin Ende Uphill Blak   || 0:2 ||  Timo Diddy Becket Nookie Alex 
13-11-2022 22:45:44 Ronin Blak Timo Elytic Uphill   || 0:2 ||  Stn Haboo Diddy Ende Nookie 
13-11-2022 23:35:50 Stn Ronin Blak Timo Uphill   || 1:1 ||  Haboo Diddy Regnells Elytic Nookie 
25-11-2022 22:20:25 Uphill Ronin Becket Elytic Stn   || 1:2 ||  Cylas Zery Blak Diddy Nookie EU
25-11-2022 23:16:22 Uphill Cylas Toxic Nookie Stn   || 2:0 ||  Ronin Becket Blak Diddy Elytic EU
25-11-2022 23:37:28 Ronin Becket Blak Elytic Nookie   || 1:0 ||  Uphill Timo Toxic Diddy Stn EU
26-11-2022 22:08:43 Uphill Haboo Becket Zery Tark   || 1:0 ||  Ronin Toxic Blak Cylas Nookie EU
26-11-2022 22:45:55 Ronin Toxic Stn Nookie Tark   || 0:2 ||  Uphill Haboo Becket Blak Cylas EU
27-11-2022 00:15:43 Uphill Titan Blak Diddy Nookie   || 2:1 ||  Ronin Toxic Becket Stn Tark EU
27-11-2022 20:02:01 Ende Toxic Diddy Timo Zery   || 0:0 ||  Uphill Titan Becket Blak Elytic EU
27-11-2022 20:20:34 Blak Elytic Uphill Becket Toxic   || 2:0 ||  Zery Titan Ende Timo Diddy EU
27-11-2022 21:22:36 Uphill Titan Becket Blak Elytic   || 0:0 ||  Ende Toxic Diddy Timo Zery EU
27-11-2022 21:25:28 Blak Elytic Becket Uphill Toxic   || 2:0 ||  Zery Titan Diddy Timo Ende EU
27-11-2022 21:26:04 Titan Toxic Blak Diddy Zery   || 0:0 ||  Uphill Ende Becket Timo Elytic EU
27-11-2022 21:29:37 Blak Diddy Zery Ende Titan   || 2:1 ||  Becket Toxic Timo Elytic Uphill EU
27-11-2022 21:34:03 Ende Titan Becket Zery Elytic   || 0:0 ||  Uphill Toxic Stn Diddy Nookie EU
27-11-2022 21:35:06 Ende Titan Becket Zery Elytic   || 0:0 ||  Uphill Toxic Stn Diddy Nookie EU
27-11-2022 22:27:23 Blak Titan Diddy Zery Elytic   || 1:0 ||  Uphill Toxic Haboo Stn Nookie EU
27-11-2022 22:31:32 Uphill Becket Toxic Stn Diddy   || 0:0 ||  Titan Ende Nookie Zery Elytic EU
27-11-2022 22:34:29 Becket Titan Uphill Stn Nookie   || 2:0 ||  Toxic Elytic Diddy Zery Ende EU
02-12-2022 21:37:33 Becket M-kon Blak Zery Ronin   || 2:0 ||  Uphill Cylas Ende Stn Nookie EU
02-12-2022 22:12:49 Uphill M-kon Cylas Stn Blak   || 1:1 ||  Becket Ende Nookie Zery Ronin EU
02-12-2022 22:47:09 Uphill Becket M-kon Ende Stn   || 0:0 ||  Toxic Blak Nookie Zery Ronin EU
02-12-2022 22:49:29 Blak Toxic Stn Uphill M-kon   || 2:0 ||  Zery Becket Nookie Ronin Ende EU
02-12-2022 23:14:52 Uphill Becket Elytic Nookie Ronin   || 0:0 ||  Toxic Ende Stn Blak Timo EU
02-12-2022 23:17:03 Blak Nookie Ronin Uphill Elytic   || 1:0 ||  Becket Stn Toxic Ende Timo EU
03-12-2022 00:10:53 Uphill Toxic Stn Nookie Timo   || 1:2 ||  Becket Elytic Foy Blak Ronin EU
03-12-2022 22:48:32 Titan Stn Blak Ronin Timo   || 2:1 ||  Diddy Elytic Uphill Foy Squishy EU
03-12-2022 23:28:21 Titan Diddy Stn Timo Toxic   || 0:0 ||  Elytic Uphill Foy Blak Ronin EU
03-12-2022 23:31:34 Blak Uphill Elytic Toxic Foy   || 2:0 ||  Timo Titan Stn Diddy Ronin EU
04-12-2022 00:29:38 Stn Blak Ronin Timo Toxic   || 1:2 ||  Becket Diddy Elytic Uphill Haboo EU
11-12-2022 10:48:11 Becket Uphill Stn Bobby Dragon   || 1:0 ||  Diddy Elytic Haboo Zery Tark NY
11-12-2022 10:54:40 Diddy Uphill Foy Bobby Becket   || 1:0 ||  Toxic Tark Elytic Slime Stn NY
02-01-2023 20:13:28 Elytic Hero Diddy Stn Haboo   || 0:2 ||  M-kon Nookie Foy Uphill Becket EU
02-01-2023 20:40:34 Uphill Stn Zery Alex Titan   || 0:1 ||  Becket Smurf Elytic Blak Timo EU
02-01-2023 21:56:07 Becket Smurf Elytic Timo Blak   || 1:2 ||  Stn Zery Alex Diddy Uphill EU
02-01-2023 22:18:00 Elytic Blak Alex Diddy Timo   || 1:0 ||  Becket Smurf Uphill Stn Cylas EU
02-01-2023 23:34:38 Smurf Uphill Stn Cylas Haboo   || 2:2 ||  Sora Elytic Blak Diddy Timo NY
02-01-2023 23:36:34 Becket Smurf Elytic Timo Blak   || 0:1 ||  Stn Zery Alex Diddy Uphill EU
03-01-2023 21:15:03 Nookie Uphill Becket Hero Elytic   || 1:0 ||  Mitter Eppixx Blak Zery Cylas EU
03-01-2023 21:38:40 Mitter Blak Zery Hero Elytic   || 1:0 ||  Eppixx Haboo Uphill Becket Cylas EU
03-01-2023 22:09:30 Uphill Blak Becket Hero Cylas   || 1:1 ||  Mitter Eppixx Haboo Zery Elytic EU
04-01-2023 11:10:51 Mitter Becket Nookie Cylas Elytic   || 1:0 ||  Stn Haboo Uphill Blak Hero EU
05-01-2023 23:05:15 Mitter Uphill Becket Nookie Elytic   || 3:2 ||  Ronin Haboo Blak Zery M-kon EU
05-01-2023 23:33:07 Mitter Ronin Becket M-kon Elytic   || 0:1 ||  Haboo Uphill Cylas Nookie Eppixx EU
07-01-2023 23:30:10 Diddy M-kon Timo Titan Blak   || 2:1 ||  Ronin Uphill Mitter Elytic Nookie EU
08-01-2023 22:35:33 Diddy M-kon Timo Alex Blak   || 2:1 ||  Ronin Uphill Elytic Nookie Haboo EU
13-01-2023 23:07:14 Uphill Timo Nookie Cylas Becket   || 0:1 ||  Diddy Stn M-kon Mitter Blak EU
13-01-2023 23:35:39 Stn Zto Elytic Nookie Mitter   || 1:0 ||  Diddy Uphill Cylas Becket Blak EU
13-01-2023 23:56:54 Diddy Stn Zto Nookie Titan   || 0:1 ||  Uphill Elytic Mitter Becket Blak EU
14-01-2023 00:26:42 Diddy Stn Uphill Slime Blak   || 0:1 ||  Zto Elytic Nookie Titan Becket NY
31-01-2023 23:02:04 Dragon Elytic Suddi Tark Blak   || 0:1 ||  Lightman Stn Uphill Toxic M-kon EU
31-01-2023 23:46:55 Nookie Uphill Elytic Tark Blak   || 2:0 ||  Lightman Stn Toxic M-kon Suddi EU
02-02-2023 21:42:14 Timo Zery M-kon Suddi Mitter   || 1:2 ||  Uphill Elytic Toxic Foy Blak EU
02-02-2023 23:22:03 Tark Elytic Toxic Haboo Blak   || 1:2 ||  Sora Alex Nookie Suddi Mitter EU
03-02-2023 00:25:58 Sora Elytic Toxic Haboo Blak   || 1:1 ||  Stn Tark Nookie Suddi Mitter EU
03-02-2023 00:32:33 Blak Haboo Elytic M-kon Toxic   || 1:0 ||  Stn Suddi Nookie Ehkho Mitter NY
04-02-2023 00:36:59 Stn Ehkho Grim Timo Elytic   || 1:0 ||  Haboo Ronin Toxic Uphill Blak EU
04-02-2023 00:56:12 Foy Ronin Toxic Timo Elytic   || 1:0 ||  Haboo Ehkho Grim Uphill Blak EU
04-02-2023 01:52:07 Foy Haboo Grim Timo Uphill   || 2:1 ||  Ehkho Ronin Toxic Blak Elytic EU
19-02-2023 18:56:40 Mitter Alex Diddy Uphill Zery   || 0:2 ||  Naicrez Stn Ronin Cylas Blak EU
19-02-2023 19:19:36 Naicrez Stn Mitter Alex Zery   || 1:0 ||  Ronin Timo Diddy Uphill Blak EU
19-02-2023 19:49:55 Naicrez Diddy Uphill Blak Zery   || 2:0 ||  Stn Suddi Mitter Timo Alex EU
